id_congresista	nombres	apellidos	completo	partido	partidos_anteriores	camara	num_votos	tipo_periodo	comision	autorias_aprobadas	ponencias	investigado	genero	posicion_ideologica	dep_circuncripcion	dep_mayor_vot	reemplazo
18	Carlos	Cárdenas Ortiz	Cárdenas Ortiz, Carlos	Partido Social de Unidad Nacional - Partido de la U	Partido Social de Unidad Nacional - Partido de la U	Senado	28587	Titular de la curul	Cuarta	3	10		Masculino	None	Circunscripción Nacional	Casanare	nadie
2489	Jesús Enrique	Piñacué Achicué	Piñacué Achicué, Jesús Enrique	Alianza Social Independiente	Alianza Social Independiente, Cabildo del Resguardo de Calderas	Senado	66287	Titular de la curul	Primera	3	33		Masculino	None	Circunscripción Nacional	Valle del Cauca	nadie
36	Ernesto Ramiro	Estacio	Estacio, Ernesto Ramiro	Autoridades Indígenas de Colombia AICO	Autoridades Indígenas de Colombia AICO	Senado	9901	Titular de la curul	Quinta	0	22		Masculino	None	Circunscripción Especial por Comunidades Indígenas	Nariño	nadie
60	Alexandra	Moreno Piraquive	Moreno Piraquive, Alexandra	MIRA	MIRA	Senado	81061	Titular de la curul	Segunda	3	29		Femenino	6	Circunscripción Nacional	Distrito Capital	nadie
98	Manuel Antonio	Virgüez Piraquive	Virgüez Piraquive, Manuel Antonio	MIRA	MIRA	Senado	237512	Titular de la curul	Cuarta	11	12		Masculino	6	Circunscripción Nacional	Distrito Capital	nadie
1277	Yolanda	Pinto Afanador de Gaviria	Pinto Afanador de Gaviria, Yolanda	Liberal Colombiano	Liberal Colombiano	Senado	29820	Reemplazo permanente	Tercera	5	22		Femenino	None	Circunscripción Nacional	Antioquia	Juan Manuel López Cabrales 
40	Guillermo	García Realpe	García Realpe, Guillermo	Liberal Colombiano	Liberal Colombiano	Senado	43212	Reemplazo temporal	Tercera	0	0		Masculino	4	Circunscripción Nacional	Cauca	Luis Fernando Velasco Cháves
75	Griselda Janeth	Restrepo Gallego	Restrepo Gallego, Griselda Janeth	Liberal Colombiano	Liberal Colombiano	Cámara de Representantes	25338	Titular de la curul	Primera	0	19		Femenino	None	Circunscripción Territorial de Valle del Cauca	Valle del Cauca	Guillermo Gaviria Zapata
39	Daira de Jesús	Galvis Méndez	Galvis Méndez, Daira de Jesús	Cambio Radical	Cambio Radical, Convergencia Ciudadana	Senado	22446	Reemplazo permanente	Tercera	0	27		Femenino	None	Circunscripción Nacional	Bolívar	Luis Alberto Gil Castillo
1309	Juan de Jesús	Cárdenas Chávez	Cárdenas Chávez, Juan de Jesús	Convergencia Ciudadana	Convergencia Ciudadana	Senado	16923	Reemplazo permanente	Cuarta	0	3		Masculino	None	Circunscripción Nacional	Huila	Juan Carlos Martínez Sinisterra
35	Edgar	Espíndola Niño	Espíndola Niño, Edgar	Opción Ciudadana	Convergencia Ciudadana, Opción Ciudadana, Partido de Integración Nacional (PIN)	Senado	24033	Reemplazo permanente	Sexta	0	15		Masculino	7	Circunscripción Nacional	Boyacá	Luis Eduardo Vives Lacouture
22	Elsa Gladys	Cifuentes Aranzazu	Cifuentes Aranzazu, Elsa Gladys	Partido Social de Unidad Nacional - Partido de la U	Cambio Radical, Partido Social de Unidad Nacional - Partido de la U	Senado	17924	Reemplazo temporal	Primera	0	46		Femenino	None	Circunscripción Nacional	Risaralda	Germán Vargas Lleras
90	Alfonso	Valdivieso Sarmiento	Valdivieso Sarmiento, Alfonso	Cambio Radical	Cambio Radical	Senado	13970	Reemplazo permanente	Primera	0	30		Masculino	4	Circunscripción Nacional	Santander	Rubén Darío Quintero Villada
53	Rodrigo	Lara Restrepo	Lara Restrepo, Rodrigo	Cambio Radical	Cambio Radical	Senado	16872	Reemplazo permanente	Séptima	0	27		Masculino	None	Circunscripción Nacional	Huila	Reginaldo Enrique Montes Álvarez 
3	Carlos Enrique	Alvarado Chávez	Alvarado Chávez, Carlos Enrique	Cambio Radical	Cambio Radical	Senado	8454	Reemplazo permanente		0	3		Masculino	None	Circunscripción Nacional	Nariño	Miguel Pinedo Vidal
399	Humberto de Jesús	Builes Correa	Builes Correa, Humberto de Jesús	Cambio Radical	Cambio Radical, Coalición	Senado	72571	Reemplazo permanente	Quinta	1	10		Masculino	None	Circunscripción Nacional	Antioquia	Luis Carlos Torres Rueda
1276	Ramón Elías	López Sabogal	López Sabogal, Ramón Elías	Centro Democrático	Cambio Radical, Centro Democrático, Partido Social de Unidad Nacional - Partido de la U	Senado	26536	Reemplazo permanente	Sexta	0	11		Masculino	None	Circunscripción Nacional	Valle del Cauca	Mario Londoño Arcila
390	Vicente	Blel Saad	Blel Saad, Vicente	Liberal Colombiano	Colombia Viva, Liberal Colombiano, Liberal Colombiano, Movimiento Integración Popular MIPOL	Senado	53761	Titular de la curul	Cuarta	0	14		Masculino	None	Circunscripción Nacional	Bolívar	Dieb Nicolás Maloof Cusé
1290	Jorge de Jesús	Castro Pacheco	Castro Pacheco, Jorge de Jesús	Convergencia Popular Cívica	Colombia Viva, Convergencia Popular Cívica, Movimiento Integración Popular MIPOL	Senado	None	Reemplazo temporal	Quinta	0	0	Atención: detenido e investigado por posibles nexos con grupos armados ilegales (15MAY08).  	Masculino	None	Circunscripción Nacional	Sucre	Vicente Blel Saad
44	Jorge Enrique	Gómez Montealegre	Gómez Montealegre, Jorge Enrique	Partido Social de Unidad Nacional - Partido de la U	Colombia Viva, Partido Social de Unidad Nacional - Partido de la U	Senado	31961	Reemplazo permanente	Séptima	0	0	Atención: Investigado por fraude	Masculino	None	Circunscripción Nacional	Distrito Capital	Jorge de Jesús Castro Pacheco
94	Víctor	Velásquez Reyes	Velásquez Reyes, Víctor	Opción Ciudadana	Colombia Viva, Opción Ciudadana, Partido Social de Unidad Nacional - Partido de la U	Senado	9283	Reemplazo permanente	Cuarta	0	19		Masculino	None	Circunscripción Nacional	Distrito Capital	Habib Merheg Marún
1856	Ricardo Ariel	Elcure Chacón	Elcure Chacón, Ricardo Ariel	Colombia Democrática	Colombia Democrática	Senado	4017	Reemplazo permanente	Segunda	0	0	Atención: Investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Norte de Santander	Mario Uribe Escobar
24	Cristóbal Rufino	Córdoba Mosquera	Córdoba Mosquera, Cristóbal Rufino	Colombia Democrática	Colombia Democrática, Liberal Colombiano	Cámara de Representantes	18977	Reemplazo temporal	Tercera	0	0		Masculino	None	Circunscripción Territorial de Chocó	Chocó	Ricardo Ariel Elcure Chacón
608	José Gonzalo	Gutiérrez	Gutiérrez, José Gonzalo	Partido Social de Unidad Nacional - Partido de la U	Colombia Democrática, Movimiento de Participación Popular, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	36907	Titular de la curul	Séptima	2	16	Falleció el 02 de diciembre de 2008	Masculino	None	Circunscripción Territorial de Bogotá	Distrito Capital	Miguel Alfonso de la Espriella Burgos
